,Movie_Name,Relese_Year,Rating_Score,Meta_Score,Total_Votes,Gross_USA,Movie_Genre,Director_Star
0,Spider-Man: No Way Home,2021,8.2,71.0,770024.0,804747988.0,"Action, Adventure, Fantasy","Director:Jon Watts| Stars:Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon"
1,Shang-Chi and the Legend of the Ten Rings,2021,7.4,71.0,389130.0,224543292.0,"Action, Adventure, Fantasy","Director:Destin Daniel Cretton| Stars:Simu Liu, Awkwafina, Tony Chiu-Wai Leung, Ben Kingsley"
2,Venom: Let There Be Carnage,2021,5.9,49.0,229727.0,213550366.0,"Action, Sci-Fi, Thriller","Director:Andy Serkis| Stars:Tom Hardy, Woody Harrelson, Michelle Williams, Naomie Harris"
3,Black Widow,2021,6.7,68.0,385758.0,183651655.0,"Action, Adventure, Sci-Fi","Director:Cate Shortland| Stars:Scarlett Johansson, Florence Pugh, David Harbour, Rachel Weisz"
4,F9: The Fast Saga,2021,5.2,58.0,136627.0,173202780.0,"Action, Crime, Thriller","Director:Justin Lin| Stars:Vin Diesel, Michelle Rodriguez, Jordana Brewster, Tyrese Gibson"
5,Eternals,2021,6.3,52.0,347871.0,164870234.0,"Action, Adventure, Fantasy","Director:Chloé Zhao| Stars:Gemma Chan, Richard Madden, Angelina Jolie, Salma Hayek"
6,Sing 2,2021,7.4,49.0,71833.0,162790990.0,"Animation, Adventure, Comedy","Directors:Garth Jennings, Christophe Lourdelet| Stars:Matthew McConaughey, Reese Witherspoon, Scarlett Johansson, Tori Kelly"
7,No Time to Die,2021,7.3,68.0,409144.0,160869031.0,"Action, Adventure, Thriller","Director:Cary Joji Fukunaga| Stars:Daniel Craig, Ana de Armas, Rami Malek, Léa Seydoux"
8,Ghostbusters: Afterlife,2021,7.1,45.0,186638.0,129360575.0,"Adventure, Comedy, Fantasy","Director:Jason Reitman| Stars:Carrie Coon, Paul Rudd, Finn Wolfhard, Mckenna Grace"
9,Free Guy,2021,7.1,62.0,377719.0,121626598.0,"Action, Adventure, Comedy","Director:Shawn Levy| Stars:Ryan Reynolds, Jodie Comer, Taika Waititi, Lil Rel Howery"
