,Movie_Name,Relese_Year,Rating_Score,Meta_Score,Total_Votes,Gross_USA,Movie_Genre,Director_Star
0,Bad Boys for Life,2020,6.5,59.0,163864.0,206305244.0,"Action, Comedy, Crime","Directors:Adil El Arbi, Bilall Fallah| Stars:Will Smith, Martin Lawrence, Vanessa Hudgens, Alexander Ludwig"
1,A Quiet Place Part II,2020,7.2,71.0,237342.0,160072261.0,"Drama, Horror, Sci-Fi","Director:John Krasinski| Stars:Emily Blunt, Millicent Simmonds, Cillian Murphy, John Krasinski"
2,Sonic the Hedgehog,2020,6.5,47.0,143064.0,148974665.0,"Action, Adventure, Comedy","Director:Jeff Fowler| Stars:Ben Schwartz, James Marsden, Jim Carrey, Tika Sumpter"
3,Birds of Prey,2020,6.0,60.0,243759.0,84158461.0,"Action, Comedy, Crime","Director:Cathy Yan| Stars:Margot Robbie, Rosie Perez, Mary Elizabeth Winstead, Jurnee Smollett"
4,Dolittle,2020,5.6,26.0,66165.0,77047065.0,"Adventure, Comedy, Family","Director:Stephen Gaghan| Stars:Robert Downey Jr., Antonio Banderas, Michael Sheen, Jim Broadbent"
5,The Invisible Man,2020,7.1,72.0,232593.0,70410000.0,"Drama, Horror, Mystery","Director:Leigh Whannell| Stars:Elisabeth Moss, Oliver Jackson-Cohen, Harriet Dyer, Aldis Hodge"
6,The Call of the Wild,2020,6.7,48.0,51199.0,62342368.0,"Adventure, Drama, Family","Director:Chris Sanders| Stars:Harrison Ford, Omar Sy, Cara Gee, Dan Stevens"
7,Onward,2020,7.4,61.0,153298.0,61555145.0,"Animation, Adventure, Comedy","Director:Dan Scanlon| Stars:Tom Holland, Chris Pratt, Julia Louis-Dreyfus, Octavia Spencer"
8,The Croods: A New Age,2020,6.9,56.0,45862.0,58568815.0,"Animation, Adventure, Comedy","Director:Joel Crawford| Stars:Nicolas Cage, Emma Stone, Ryan Reynolds, Catherine Keener"
9,Tenet,2020,7.3,69.0,516568.0,58456624.0,"Action, Sci-Fi, Thriller","Director:Christopher Nolan| Stars:John David Washington, Robert Pattinson, Elizabeth Debicki, Juhan Ulfsak"
10,Demon Slayer the Movie: Mugen Train,2020,8.2,72.0,60590.0,47700000.0,"Animation, Action, Adventure","Director:Haruo Sotozaki| Stars:Natsuki Hanae, Akari Kitô, Yoshitsugu Matsuoka, Hiro Shimono"
11,Wonder Woman 1984,2020,5.4,60.0,272528.0,46370364.0,"Action, Adventure, Fantasy","Director:Patty Jenkins| Stars:Gal Gadot, Chris Pine, Kristen Wiig, Pedro Pascal"
12,Fantasy Island,2020,4.9,22.0,54034.0,27309289.0,"Fantasy, Horror, Mystery","Director:Jeff Wadlow| Stars:Michael Peña, Maggie Q, Lucy Hale, Austin Stowell"
13,Underwater,2020,5.8,48.0,85564.0,17291078.0,"Action, Horror, Sci-Fi","Director:William Eubank| Stars:Kristen Stewart, Vincent Cassel, Mamoudou Athie, T.J. Miller"
14,Gretel & Hansel,2020,5.5,64.0,31738.0,15347654.0,"Fantasy, Horror, Mystery","Director:Oz Perkins| Stars:Sophia Lillis, Samuel Leakey, Alice Krige, Jessica De Gouw"
15,Monster Hunter,2020,5.2,47.0,61258.0,15162470.0,"Action, Adventure, Fantasy","Director:Paul W.S. Anderson| Stars:Milla Jovovich, Tony Jaa, Ron Perlman, T.I."
16,Honest Thief,2020,6.0,46.0,52104.0,14163574.0,"Action, Thriller","Director:Mark Williams| Stars:Liam Neeson, Kate Walsh, Jai Courtney, Jeffrey Donovan"
17,Bloodshot,2020,5.7,44.0,79759.0,12561824.0,"Action, Adventure, Sci-Fi","Director:Dave Wilson| Stars:Vin Diesel, Eiza González, Sam Heughan, Toby Kebbell"
18,After We Collided,2020,5.0,14.0,33349.0,2386483.0,"Drama, Romance","Director:Roger Kumble| Stars:Josephine Langford, Hero Fiennes Tiffin, Dylan Sprouse, Louise Lombard"
19,Scoob!,2020,5.6,43.0,27710.0,2188425.0,"Animation, Adventure, Comedy","Director:Tony Cervone| Stars:Will Forte, Mark Wahlberg, Jason Isaacs, Gina Rodriguez"
20,Peninsula,2020,5.5,51.0,34164.0,1231407.0,"Action, Horror, Thriller","Director:Sang-ho Yeon| Stars:Gang Dong-won, Lee Jung-hyun, Re Lee, Hae-hyo Kwon"
21,The Serpent,2020,3.0,,3242.0,1200000.0,"Action, Adventure, Thriller","Director:Gia Skova| Stars:Gia Skova, Travis Aaron Wade, Nigel Vonas, Kristopher Graves"
22,Love and Monsters,2020,6.9,63.0,131188.0,1070714.0,"Action, Adventure, Comedy","Director:Michael Matthews| Stars:Dylan O'Brien, Jessica Henwick, Michael Rooker, Dan Ewing"
23,Star Trek First Frontier,2020,5.6,,236.0,500000.0,Sci-Fi,"Director:Kenneth Smith| Stars:Robert Pralgo, Tara Ochs, Mark Ashworth, Paul Telfer"
24,Ava,IV) (2020,5.4,39.0,57807.0,497747.0,"Action, Drama, Thriller","Director:Tate Taylor| Stars:Jessica Chastain, John Malkovich, Common, Geena Davis"
25,The Eight Hundred,2020,6.7,64.0,6173.0,372755.0,"Action, Drama, History","Director:Hu Guan| Stars:Zhizhong Huang, Junyi Zhang, Hao Ou, Xiaoguang Hu"
26,Legend of Deification,2020,6.5,,1960.0,214670.0,"Animation, Action, Adventure","Directors:Teng Cheng, Li Wei| Stars:Guanlin Ji, Guangtao Jiang, Yan Meme, Yang Ning"
27,Come Away,2020,5.7,40.0,5283.0,184477.0,"Adventure, Drama, Fantasy","Director:Brenda Chapman| Stars:Gugu Mbatha-Raw, Carter Thomas, Ava Fillery, Jonathan Garcia"
28,Wendy,2020,5.7,55.0,3533.0,143518.0,"Drama, Fantasy","Director:Benh Zeitlin| Stars:Devin France, Yashua Mack, Gage Naquin, Gavin Naquin"
29,Tulsa,2020,6.0,,782.0,113929.0,"Comedy, Drama","Directors:Scott Pryor, Gloria Stella| Stars:Scott Pryor, Livi Birch, John Schneider, Nicole Marie Johnson"
30,Leap,2020,6.6,,1294.0,83074.0,"Biography, Drama, Sport","Director:Peter Ho-Sun Chan| Stars:Gong Li, Bo Huang, Gang Wu, Yuchang Peng"
31,Saving Mbango,2020,6.1,,48.0,59250.0,Drama,"Director:Nkanya Nkwai| Stars:Onyama Laura, Godisz Fungwa, AjibiLiviana, Malvis Ann"
32,Dara of Jasenovac,2020,8.2,,81244.0,52786.0,"Drama, War","Director:Predrag Antonijevic| Stars:Biljana Cekic, Zlatan Vidovic, Anja Stanic, Luka Saranovic"
33,Black Wall Street Burning,2020,7.0,,60.0,41973.0,Drama,"Directors:Marcus Brown, Dekoven Riggins| Stars:Dan Belcher, Rhonda Blake, Faith Bloomer, Marcus Brown"
34,Aloha Surf Hotel,2020,5.4,,87.0,33562.0,"Comedy, Drama","Director:Stefan C. Schaefer| Stars:Augie Tulba, Taiana Tully, Alex Farnham, Branscombe Richmond"
35,Dream Round,2020,5.0,,57.0,20000.0,"Comedy, Drama, Sport","Director:Dusty Dukatz| Stars:Michael Saquella, Richard Grieco, Heidi Kaplan, Alexa Lohman"
36,More to Life,2020,5.3,,43.0,20000.0,Drama,"Director:Joseph Ebanks| Stars:Shannon Bond, Joel Diggs, Christian Edmonds, Deontay Epps"
37,Frank and Ava,2020,3.4,,173.0,18829.0,"Biography, Drama, History","Director:Michael Oblowitz| Stars:Rico Simonini, Emily Elicia Low, Harry Dean Stanton, Eric Roberts"
