,Movie_Name,Relese_Year,Rating_Score,Meta_Score,Total_Votes,Gross_USA,Movie_Genre,Director_Star
0,American Sniper,2014,7.3,72.0,494945.0,350126372.0,"Action, Biography, Drama","Director:Clint Eastwood| Stars:Bradley Cooper, Sienna Miller, Kyle Gallner, Cole Konis"
1,The Hunger Games: Mockingjay - Part 1,2014,6.6,64.0,462372.0,337135885.0,"Action, Adventure, Sci-Fi","Director:Francis Lawrence| Stars:Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson"
2,Guardians of the Galaxy,2014,8.0,76.0,1189629.0,333176600.0,"Action, Adventure, Comedy","Director:James Gunn| Stars:Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana"
3,Captain America: The Winter Soldier,2014,7.8,70.0,853965.0,259766572.0,"Action, Adventure, Sci-Fi","Directors:Anthony Russo, Joe Russo| Stars:Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford"
4,The Lego Movie,2014,7.7,83.0,361211.0,257760692.0,"Animation, Action, Adventure","Directors:Phil Lord, Christopher Miller| Stars:Chris Pratt, Will Ferrell, Elizabeth Banks, Will Arnett"
5,The Hobbit: The Battle of the Five Armies,2014,7.4,59.0,540178.0,255119788.0,"Adventure, Fantasy","Director:Peter Jackson| Stars:Ian McKellen, Martin Freeman, Richard Armitage, Cate Blanchett"
6,Transformers: Age of Extinction,2014,5.6,32.0,317893.0,245439076.0,"Action, Adventure, Sci-Fi","Director:Michael Bay| Stars:Mark Wahlberg, Nicola Peltz Beckham, Jack Reynor, Stanley Tucci"
7,Maleficent,2014,6.9,56.0,381196.0,241410378.0,"Adventure, Family, Fantasy","Director:Robert Stromberg| Stars:Angelina Jolie, Elle Fanning, Sharlto Copley, Lesley Manville"
8,X-Men: Days of Future Past,2014,7.9,75.0,718253.0,233921534.0,"Action, Adventure, Sci-Fi","Director:Bryan Singer| Stars:Patrick Stewart, Ian McKellen, Hugh Jackman, James McAvoy"
9,Big Hero 6,2014,7.8,74.0,468224.0,222527828.0,"Animation, Action, Adventure","Directors:Don Hall, Chris Williams| Stars:Ryan Potter, Scott Adsit, Jamie Chung, T.J. Miller"
10,Dawn of the Planet of the Apes,2014,7.6,79.0,446642.0,208545589.0,"Action, Adventure, Drama","Director:Matt Reeves| Stars:Gary Oldman, Keri Russell, Andy Serkis, Kodi Smit-McPhee"
11,The Amazing Spider-Man 2,2014,6.6,53.0,504766.0,202853933.0,"Action, Adventure, Sci-Fi","Director:Marc Webb| Stars:Andrew Garfield, Emma Stone, Jamie Foxx, Paul Giamatti"
12,Godzilla,2014,6.4,62.0,418414.0,200676069.0,"Action, Adventure, Sci-Fi","Director:Gareth Edwards| Stars:Aaron Taylor-Johnson, Elizabeth Olsen, Bryan Cranston, Ken Watanabe"
13,22 Jump Street,2014,7.0,71.0,383476.0,191719337.0,"Action, Comedy, Crime","Directors:Phil Lord, Christopher Miller| Stars:Channing Tatum, Jonah Hill, Ice Cube, Nick Offerman"
14,Teenage Mutant Ninja Turtles,2014,5.8,31.0,213063.0,191204754.0,"Action, Adventure, Comedy","Director:Jonathan Liebesman| Stars:Megan Fox, Will Arnett, William Fichtner, Noel Fisher"
15,Interstellar,2014,8.6,74.0,1858359.0,188020017.0,"Adventure, Drama, Sci-Fi","Director:Christopher Nolan| Stars:Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy"
16,How to Train Your Dragon 2,2014,7.8,77.0,341365.0,177002924.0,"Animation, Action, Adventure","Director:Dean DeBlois| Stars:Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson"
17,Gone Girl,2014,8.1,79.0,993064.0,167767189.0,"Drama, Mystery, Thriller","Director:David Fincher| Stars:Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry"
18,Divergent,2014,6.6,48.0,466036.0,150947895.0,"Action, Adventure, Mystery","Director:Neil Burger| Stars:Shailene Woodley, Theo James, Kate Winslet, Jai Courtney"
19,Neighbors,2014,6.3,68.0,315296.0,150157400.0,Comedy,"Director:Nicholas Stoller| Stars:Seth Rogen, Rose Byrne, Zac Efron, Lisa Kudrow"
20,Ride Along,2014,6.1,41.0,116713.0,134938200.0,"Action, Comedy, Crime","Director:Tim Story| Stars:Ice Cube, Kevin Hart, Tika Sumpter, John Leguizamo"
21,Rio 2,2014,6.3,49.0,93099.0,131538435.0,"Animation, Adventure, Comedy","Director:Carlos Saldanha| Stars:Jesse Eisenberg, Anne Hathaway, Jemaine Clement, Andy Garcia"
22,Kingsman: The Secret Service,2014,7.7,60.0,675334.0,128261724.0,"Action, Adventure, Comedy","Director:Matthew Vaughn| Stars:Colin Firth, Taron Egerton, Samuel L. Jackson, Michael Caine"
23,Into the Woods,2014,5.9,69.0,143219.0,128002372.0,"Adventure, Comedy, Drama","Director:Rob Marshall| Stars:Anna Kendrick, Meryl Streep, Chris Pine, Emily Blunt"
24,Lucy,2014,6.4,61.0,503924.0,126663600.0,"Action, Sci-Fi, Thriller","Director:Luc Besson| Stars:Scarlett Johansson, Morgan Freeman, Choi Min-sik, Amr Waked"
25,The Fault in Our Stars,2014,7.7,69.0,382116.0,124872350.0,"Drama, Romance","Director:Josh Boone| Stars:Shailene Woodley, Ansel Elgort, Nat Wolff, Laura Dern"
26,Unbroken,2014,7.2,59.0,171338.0,115637895.0,"Action, Biography, Drama","Director:Angelina Jolie| Stars:Jack O'Connell, Miyavi, Domhnall Gleeson, Garrett Hedlund"
27,Night at the Museum: Secret of the Tomb,2014,6.2,47.0,126032.0,113746621.0,"Adventure, Comedy, Family","Director:Shawn Levy| Stars:Ben Stiller, Robin Williams, Owen Wilson, Dick Van Dyke"
28,Mr. Peabody & Sherman,2014,6.8,59.0,72434.0,111506430.0,"Animation, Adventure, Comedy","Director:Rob Minkoff| Stars:Ty Burrell, Max Charles, Stephen Colbert, Leslie Mann"
29,300: Rise of an Empire,2014,6.2,48.0,304961.0,106580051.0,"Action, Drama","Director:Noam Murro| Stars:Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson"
30,The Maze Runner,2014,6.8,57.0,475358.0,102427862.0,"Action, Mystery, Sci-Fi","Director:Wes Ball| Stars:Dylan O'Brien, Kaya Scodelario, Will Poulter, Thomas Brodie-Sangster"
31,The Equalizer,2014,7.2,57.0,377727.0,101530738.0,"Action, Crime, Thriller","Director:Antoine Fuqua| Stars:Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour"
32,Noah,2014,5.8,68.0,257666.0,101200044.0,"Action, Adventure, Drama","Director:Darren Aronofsky| Stars:Russell Crowe, Jennifer Connelly, Anthony Hopkins, Emma Watson"
33,Edge of Tomorrow,2014,7.9,71.0,687447.0,100206256.0,"Action, Adventure, Sci-Fi","Director:Doug Liman| Stars:Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson"
34,Non-Stop,2014,6.9,56.0,267658.0,92168600.0,"Action, Mystery, Thriller","Director:Jaume Collet-Serra| Stars:Liam Neeson, Julianne Moore, Scoot McNairy, Michelle Dockery"
35,Heaven Is for Real,2014,5.8,47.0,27570.0,91443253.0,"Biography, Drama, Family","Director:Randall Wallace| Stars:Greg Kinnear, Kelly Reilly, Thomas Haden Church, Connor Corum"
36,The Imitation Game,2014,8.0,71.0,778365.0,91125683.0,"Biography, Drama, Thriller","Director:Morten Tyldum| Stars:Benedict Cumberbatch, Keira Knightley, Matthew Goode, Allen Leech"
37,Taken 3,2014,6.0,26.0,195666.0,89256424.0,"Action, Crime, Thriller","Director:Olivier Megaton| Stars:Liam Neeson, Forest Whitaker, Maggie Grace, Famke Janssen"
38,Dumb and Dumber To,2014,5.6,36.0,139577.0,86208010.0,Comedy,"Directors:Bobby Farrelly, Peter Farrelly| Stars:Jim Carrey, Jeff Daniels, Rob Riggle, Laurie Holden"
39,Annie,2014,5.3,33.0,38741.0,85911262.0,"Comedy, Drama, Family","Director:Will Gluck| Stars:Quvenzhané Wallis, Cameron Diaz, Jamie Foxx, Rose Byrne"
