,Movie_Name,Relese_Year,Rating_Score,Meta_Score,Total_Votes,Gross_USA,Movie_Genre,Director_Star
0,Star Wars: Episode VII - The Force Awakens,2015,7.8,80.0,937561.0,936662225.0,"Action, Adventure, Sci-Fi","Director:J.J. Abrams| Stars:Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson"
1,Jurassic World,2015,6.9,59.0,649199.0,652270625.0,"Action, Adventure, Sci-Fi","Director:Colin Trevorrow| Stars:Chris Pratt, Bryce Dallas Howard, Ty Simpkins, Judy Greer"
2,Avengers: Age of Ultron,2015,7.3,66.0,871988.0,459005868.0,"Action, Adventure, Sci-Fi","Director:Joss Whedon| Stars:Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth"
3,Inside Out,2015,8.2,94.0,722352.0,356461711.0,"Animation, Adventure, Comedy","Directors:Pete Docter, Ronnie Del Carmen| Stars:Amy Poehler, Bill Hader, Lewis Black, Mindy Kaling"
4,Furious 7,2015,7.1,67.0,394505.0,353007020.0,"Action, Crime, Thriller","Director:James Wan| Stars:Vin Diesel, Paul Walker, Dwayne Johnson, Jason Statham"
5,Minions,2015,6.4,56.0,243137.0,336045770.0,"Animation, Adventure, Comedy","Directors:Kyle Balda, Pierre Coffin| Stars:Sandra Bullock, Jon Hamm, Michael Keaton, Pierre Coffin"
6,The Hunger Games: Mockingjay - Part 2,2015,6.5,65.0,333793.0,281723902.0,"Action, Adventure, Sci-Fi","Director:Francis Lawrence| Stars:Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson"
7,The Martian,2015,8.0,80.0,864945.0,228433663.0,"Adventure, Drama, Sci-Fi","Director:Ridley Scott| Stars:Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara"
8,Cinderella,2015,6.9,67.0,180229.0,201151353.0,"Adventure, Drama, Family","Director:Kenneth Branagh| Stars:Lily James, Cate Blanchett, Richard Madden, Helena Bonham Carter"
9,Spectre,2015,6.8,60.0,446013.0,200074175.0,"Action, Adventure, Thriller","Director:Sam Mendes| Stars:Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes"
10,Mission: Impossible - Rogue Nation,2015,7.4,75.0,378688.0,195042377.0,"Action, Adventure, Thriller","Director:Christopher McQuarrie| Stars:Tom Cruise, Rebecca Ferguson, Jeremy Renner, Simon Pegg"
