,Movie_Name,Relese_Year,Rating_Score,Meta_Score,Total_Votes,Gross_USA,Movie_Genre,Director_Star
0,Pressure,2022,,,,1000000.0,"Action, Drama, Thriller","Directors:Dominique C. Douglas, Aidan Eslinger, Bryan A Hill, Nikki Johnson, Lisa Mayers| Stars:Keenan Adkins, Dayshun Baggett, Marilyn Bailey, Kash Bartier"
1,Baby Boy of House,2022,,,,100000.0,Adventure,"Director:Spyce Bro| Stars:Anzor Alem, Detty Alem, Tchuba Dimalo, Emenino Negro"
2,Ginna,2022,4.1,,1734.0,75000.0,"Action, Comedy, Drama","Director:Eeshaan Suryaah| Stars:Vishnu Manchu, Payal Rajput, Sunny Leone, Ushh"
3,Gumbo,I2022,,,,25000.0,Crime,"Director:Don Charles| Stars:Don Charles, Carlether Foley"
4,Rite of the Shaman,2022,5.5,,1291.0,16210.0,Drama,"Director:Alicia Oberle Farmer| Stars:Tyrell Oberle, Janice Spencer-Wise, Lauren Holdt, Kim Stone"
5,Laleh Drive,2022,5.5,,71.0,11764.0,"Action, Biography, Drama","Director:Essy Niknejad| Stars:Sara Amiri, Mitra Hajjar, Homayoun Ershadi, Iraj Nozari"
6,River Road,2022,5.9,,1167.0,10195.0,"Drama, Thriller","Director:Rob Willey| Stars:Cody Kearsley, Lexi Redman, Steven Roberts, Primo Allon"
7,Chicken Strips: The Trials and Tribulations of Becoming a Garage Band,2022,6.9,,16.0,5934.0,"Comedy, Music, Romance","Director:Colin Taylor| Stars:Colin Taylor, Jamie Rosner, Peretz Shuman, Kylie Rae"
8,Kill Devil Hills,2022,,,,2022.0,"Horror, Thriller","Director:Butch Maier| Stars:Sarah Kate Allsup, Chris Korkalo, E.P. Macalma, Ethan Marten"
9,The Rest of Your Life,2022,,,,1318.0,"Comedy, Drama","Director:Michael Pomeroy| Stars:Michael Pomeroy, Matt Hardy, Brittany Brave, Tom Luciano"
10,Black Panther: Wakanda Forever,2022,6.9,67.0,201964.0,201964.0,"Action, Adventure, Drama","Director:Ryan Coogler| Stars:Letitia Wright, Lupita Nyong'o, Danai Gurira, Winston Duke"
11,Babylon,2022,7.4,60.0,64077.0,64077.0,"Comedy, Drama, History","Director:Damien Chazelle| Stars:Brad Pitt, Margot Robbie, Jean Smart, Olivia Wilde"
12,Avatar: The Way of Water,2022,7.8,67.0,293276.0,293276.0,"Action, Adventure, Fantasy","Director:James Cameron| Stars:Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang"
13,The Menu,2022,7.2,71.0,230132.0,230132.0,"Horror, Thriller","Director:Mark Mylod| Stars:Ralph Fiennes, Anya Taylor-Joy, Nicholas Hoult, Hong Chau"
14,The Banshees of Inisherin,2022,7.8,87.0,133161.0,133161.0,"Comedy, Drama","Director:Martin McDonagh| Stars:Colin Farrell, Brendan Gleeson, Kerry Condon, Pat Shortt"
15,Everything Everywhere All at Once,2022,8.0,81.0,326432.0,326432.0,"Action, Adventure, Comedy","Directors:Dan Kwan, Daniel Scheinert| Stars:Michelle Yeoh, Stephanie Hsu, Jamie Lee Curtis, Ke Huy Quan"
16,Puss in Boots: The Last Wish,2022,7.9,73.0,73288.0,73288.0,"Animation, Adventure, Comedy","Directors:Joel Crawford, Januel Mercado| Stars:Antonio Banderas, Salma Hayek, Harvey Guillén, Florence Pugh"
17,M3GAN,2022,6.4,72.0,61292.0,61292.0,"Horror, Sci-Fi, Thriller","Director:Gerard Johnstone| Stars:Allison Williams, Violet McGraw, Ronny Chieng, Amie Donald"
18,The Whale,2022,8.0,60.0,28089.0,28089.0,Drama,"Director:Darren Aronofsky| Stars:Brendan Fraser, Sadie Sink, Ty Simpkins, Hong Chau"
19,Shotgun Wedding,2022,5.4,46.0,20987.0,20987.0,"Action, Comedy, Romance","Director:Jason Moore| Stars:Jennifer Lopez, Josh Duhamel, Lenny Kravitz, Jennifer Coolidge"
20,Tár,2022,7.6,92.0,38262.0,38262.0,"Drama, Music","Director:Todd Field| Stars:Cate Blanchett, Noémie Merlant, Nina Hoss, Sophie Kauer"
21,Triangle of Sadness,2022,7.5,63.0,81227.0,81227.0,"Comedy, Drama","Director:Ruben Östlund| Stars:Thobias Thorwid, Harris Dickinson, Charlbi Dean, Jiannis Moustos"
22,The Fabelmans,2022,7.7,84.0,54148.0,54148.0,Drama,"Director:Steven Spielberg| Stars:Michelle Williams, Gabriel LaBelle, Paul Dano, Judd Hirsch"
23,Bullet Train,2022,7.3,49.0,292428.0,292428.0,"Action, Comedy, Thriller","Director:David Leitch| Stars:Brad Pitt, Joey King, Aaron Taylor-Johnson, Brian Tyree Henry"
24,Glass Onion,2022,7.2,81.0,331569.0,331569.0,"Comedy, Crime, Drama","Director:Rian Johnson| Stars:Daniel Craig, Edward Norton, Kate Hudson, Dave Bautista"
25,Viking Wolf,2022,5.2,,3709.0,3709.0,"Horror, Thriller","Director:Stig Svendsen| Stars:Liv Mjönes, Elli Rhiannon Müller Osborne, Arthur Hakalahti, Sjur Vatne Brean"
26,All Quiet on the Western Front,2022,7.8,76.0,138597.0,138597.0,"Action, Drama, War","Director:Edward Berger| Stars:Felix Kammerer, Albrecht Schuch, Aaron Hilmer, Moritz Klaus"
27,Top Gun: Maverick,2022,8.3,78.0,524691.0,524691.0,"Action, Drama","Director:Joseph Kosinski| Stars:Tom Cruise, Jennifer Connelly, Miles Teller, Val Kilmer"
28,A Man Called Otto,2022,7.6,51.0,16036.0,16036.0,"Comedy, Drama","Director:Marc Forster| Stars:Tom Hanks, Mariana Treviño, Rachel Keller, John Higgins"
29,Empire of Light,2022,6.6,54.0,6777.0,6777.0,"Drama, Romance","Director:Sam Mendes| Stars:Olivia Colman, Micheal Ward, Colin Firth, Toby Jones"
30,Aftersun,I2022,7.7,95.0,36119.0,36119.0,Drama,"Director:Charlotte Wells| Stars:Paul Mescal, Frankie Corio, Celia Rowlson-Hall, Sally Messham"
31,The Pale Blue Eye,2022,6.6,56.0,84393.0,84393.0,"Crime, Horror, Mystery","Director:Scott Cooper| Stars:Christian Bale, Harry Melling, Simon McBurney, Timothy Spall"
32,X,I2022,6.6,79.0,113297.0,113297.0,"Horror, Mystery, Thriller","Director:Ti West| Stars:Mia Goth, Jenna Ortega, Brittany Snow, Kid Cudi"
33,"Alice, Darling",2022,5.4,65.0,2768.0,2768.0,"Drama, Thriller","Director:Mary Nighy| Stars:Anna Kendrick, Kaniehtiio Horn, Charlie Carrick, Wunmi Mosaku"
34,Elvis,2022,7.4,64.0,179231.0,179231.0,"Biography, Drama, Music","Director:Baz Luhrmann| Stars:Tom Hanks, Austin Butler, Olivia DeJonge, Helen Thomson"
35,Blood,IV) (2022,5.3,55.0,1164.0,1164.0,"Horror, Thriller","Director:Brad Anderson| Stars:Michelle Monaghan, Skeet Ulrich, Finlay Wojtak-Hissong, June B. Wilde"
36,Women Talking,2022,7.5,79.0,4737.0,4737.0,Drama,"Director:Sarah Polley| Stars:Rooney Mara, Claire Foy, Jessie Buckley, Frances McDormand"
37,"Lyle, Lyle, Crocodile",2022,6.1,51.0,7994.0,7994.0,"Animation, Adventure, Comedy","Directors:Josh Gordon, Will Speck| Stars:Javier Bardem, Winslow Fegley, Shawn Mendes, Constance Wu"
38,Skinamarink,2022,5.1,66.0,6484.0,6484.0,Horror,"Director:Kyle Edward Ball| Stars:Lucas Paul, Dali Rose Tetreault, Ross Paul, Jaime Hill"
39,Amsterdam,2022,6.1,48.0,64978.0,64978.0,"Comedy, Drama, History","Director:David O. Russell| Stars:Christian Bale, Margot Robbie, John David Washington, Alessandro Nivola"
40,The Batman,2022,7.8,72.0,671489.0,671489.0,"Action, Crime, Drama","Director:Matt Reeves| Stars:Robert Pattinson, Zoë Kravitz, Jeffrey Wright, Colin Farrell"
41,Stromboli,2022,6.1,,906.0,906.0,Drama,"Director:Michiel van Erp| Stars:Elise Schaap, Tim McInnerny, Christian Hillborg, Pieter Embrechts"
42,Baby Ruby,2022,4.9,57.0,755.0,755.0,"Drama, Thriller","Director:Bess Wohl| Stars:Noémie Merlant, Kit Harington, Meredith Hagner, Reed Birney"
43,Where the Crawdads Sing,2022,7.2,43.0,81375.0,81375.0,"Drama, Mystery, Romance","Director:Olivia Newman| Stars:Daisy Edgar-Jones, Taylor John Smith, Harris Dickinson, David Strathairn"
44,Whitney Houston: I Wanna Dance with Somebody,2022,6.8,51.0,8977.0,8977.0,"Biography, Drama, Music","Director:Kasi Lemmons| Stars:Naomi Ackie, Stanley Tucci, Ashton Sanders, Tamara Tunie"
45,Barbarian,2022,7.0,78.0,130938.0,130938.0,"Horror, Mystery, Thriller","Director:Zach Cregger| Stars:Georgina Campbell, Bill Skarsgård, Justin Long, Matthew Patrick Davis"
46,Black Adam,2022,6.4,41.0,222377.0,222377.0,"Action, Adventure, Fantasy","Director:Jaume Collet-Serra| Stars:Dwayne Johnson, Aldis Hodge, Pierce Brosnan, Noah Centineo"
47,Don't Worry Darling,2022,6.2,48.0,101800.0,101800.0,"Drama, Thriller","Director:Olivia Wilde| Stars:Florence Pugh, Harry Styles, Chris Pine, Olivia Wilde"
48,Guillermo del Toro's Pinocchio,2022,7.6,79.0,80335.0,80335.0,"Animation, Drama, Family","Directors:Guillermo del Toro, Mark Gustafson| Stars:Ewan McGregor, David Bradley, Gregory Mann, Burn Gorman"
49,Vadh,2022,7.1,,2553.0,2553.0,"Crime, Drama, Thriller","Directors:Jaspal Singh Sandhu, Rajeev Barnwal| Stars:Sanjay Mishra, Neena Gupta, Manav Vij, Saurabh Sachdeva"
50,To Leslie,2022,7.1,84.0,5010.0,5010.0,Drama,"Director:Michael Morris| Stars:Andrea Riseborough, Allison Janney, Stephen Root, Matt Lauria"
51,Jurassic World: Dominion,2022,5.6,38.0,171496.0,171496.0,"Action, Adventure, Sci-Fi","Director:Colin Trevorrow| Stars:Chris Pratt, Bryce Dallas Howard, Laura Dern, Sam Neill"
52,Pearl,2022,7.0,73.0,43783.0,43783.0,Horror,"Director:Ti West| Stars:Mia Goth, David Corenswet, Tandi Wright, Matthew Sunderland"
53,Vengeance,I2022,6.8,65.0,23045.0,23045.0,"Comedy, Mystery, Thriller","Director:B.J. Novak| Stars:B.J. Novak, Boyd Holbrook, Lio Tipton, Ashton Kutcher"
