,Movie_Name,Relese_Year,Rating_Score,Meta_Score,Total_Votes,Gross_USA,Movie_Genre,Director_Star
2921,Milice 2,2017,4.1,,55.0,55.0,Comedy,"Director:Saso Dukic| Stars:Tin Vodopivec, Tadej Tos, Demeter Bitenc, Matjaz Javsnik"
2922,Rukh,2017,6.4,,651.0,651.0,"Drama, Mystery","Director:Atanu Mukherjee| Stars:Manoj Bajpayee, Smita Tambe, Adarsh Gourav, Shubhrajyoti Barat"
2923,September Morning,2017,6.8,,29.0,29.0,"Comedy, Drama","Director:Ryan Frost| Stars:Patrick Cage, Troy Doherty, Max Gail, Michael Grant"
2924,Salt Bridge,2017,8.6,,108.0,108.0,Drama,"Director:Abhijit Deonath| Stars:Rajeev Khandelwal, Chelsie Florence, Usha Jadhav, Kaushik Das"
2925,If You Dare Desire ...,2017,7.4,,20.0,20.0,"Drama, Fantasy, Romance","Director:Debalina Majumder| Stars:Manisha Adak, Manisha Bilkish, Farha Khatun, Gautam Mukherjee"
2926,Zero Tolerance,2017,9.3,,21.0,21.0,Thriller,"Director:Joseph Forsberg| Stars:Madeline Carroll, Yancy Butler, Clare Kramer, Anthony Tyler Quinn"
2927,Recall,2017,3.1,,265.0,265.0,"Crime, Drama, Thriller","Director:Michael James Regan| Stars:Michael James Regan, Tommy James Murphy, Louis Di Bianco, Stefano DiMatteo"
2928,Agent,2017,3.7,,1781.0,1781.0,"Action, Sci-Fi, Thriller","Director:Derek Ting| Stars:Derek Ting, Marikah Baran, Eric Keitel, Olivia Hultgren"
2929,Once Again,2017,4.8,,20.0,20.0,Drama,"Director:Wei Dai| Stars:Athena Chu, Tianhao Du, Alexi Wang, Zhifei Wang"
2930,Broken Angels,2017,7.9,,20.0,20.0,"Action, Adventure, Drama","Director:Allyn Camp| Stars:Alyssa Elle Steinacker, Mimi Davila, Sam Lant, Hank Northrop"
2931,The Village of No Return,2017,6.1,,856.0,856.0,"Comedy, Fantasy","Director:Yu-Hsun Chen| Stars:Shu Qi, Qianyuan Wang, Hsiao-chuan Chang, Mei-Hsiu Lin"
2932,The Demon Inside,2017,3.7,,123.0,123.0,"Horror, Thriller","Director:Joey Moran| Stars:Joseph Rene, Madeline Thelton, Chloe Lee, Timothy Talbott"
2933,Fallen Stars,2017,5.6,,368.0,368.0,"Comedy, Drama","Director:Brian Jett| Stars:Ryan O'Nan, Michelle Ang, Leslie David Baker, Jennifer Irwin"
2934,Duplicity,II2017,7.3,,15.0,15.0,Mystery,"Director:Garrett Adams| Stars:Benjamin Mehr, Andrew Wright, Ben Gardner, Meghan Liberto"
2935,Romeo Must Die Again,2017,,,,,"Action, Drama","Director:June Daguiso| Stars:Sharrie McCain, Morris D. Small, Taous Bennai, June Daguiso"
2936,Wir waren kameraden: Das ende,2017,7.3,,41.0,41.0,"Biography, War","Director:Heintje Peter| Stars:Franz Klose, Paul Kowalski, Andreas Lessig, Christina Sieg"
2937,Midday Adventures,2017,6.7,,3270.0,3270.0,"Action, Drama, History","Director:Mohammad Hossein Mahdavian| Stars:Javad Ezati, Hadi Hejazifar, Mehrdad Sedighian, Mahdi Pakdel"
2938,The Concessionaires Must Die!,2017,7.6,,99.0,99.0,Comedy,"Director:America Young| Stars:David Blue, Talia Tabin, John M. Keating, Zaki Rubenstein"
2939,Life in the Hole,2017,5.9,,235.0,235.0,Thriller,"Director:Tony Mendoza| Stars:Lainee Rhodes, Cassandra M. Parker, Lauren Jenna, Tabatha Wolfe"
2940,Future Century Amazons,2017,4.2,,14.0,14.0,"Action, Horror","Director:Naoyuki Tomomatsu| Stars:Luna Amemiya, Mary Aoi Iii, Maki Aoyama, Ryô Asagiri"
2941,1% - The Voice Within,2017,7.7,,21.0,21.0,Action,"Director:Jesper Sanneving| Stars:David Labrava, Mitcho Batalov, Rolf Jarl, Jerry Solfeldt"
2942,National Theatre Live: Obsession,2017,6.5,,178.0,178.0,Drama,"Directors:Ivo van Hove, Nick Wickham| Stars:Jude Law, Halina Reijn, Chukwudi Iwuji, Robert de Hoog"
2943,Raj Vishnu,2017,5.5,,13.0,13.0,"Action, Comedy","Director:K. Madesh| Stars:Sharan, Chikkanna, Srinivasa Murthy, Vaibhavi Shandilya"
2944,Rough Stuff,2017,4.8,,290.0,290.0,Adventure,"Director:Jonathan Adams| Stars:Gareth Rickards, Vincent Andriano, Sam Glissan, Katie Garfield"
2945,Long Night in a Dead City,2017,7.0,,21.0,21.0,"Horror, Mystery","Director:Richard Griffin| Stars:Aaron Andrade, Kayla Caulfield, Bruce Church, Alex DiVincenzo"
2946,Never Again a Tomorrow,2017,5.9,,270.0,270.0,Drama,"Director:Erik Clausen| Stars:Esben Dalgaard Andersen, Britt Bendixen, Nicolas Bro, Erik Clausen"
2947,A Room to Die For,2017,3.6,,412.0,412.0,"Horror, Thriller","Director:Devanand Shanmugam| Stars:Vas Blackwood, Loren Peta, Jon Campling, Christopher Craig"
2948,Borderline,2017,5.6,,154.0,154.0,"Crime, Drama, Horror","Director:Pau Masó| Stars:Paula Roy, Mireia Vallès, Txema Lorente, Mariangels Punyet"
2949,Montana,2017,6.4,,58.0,58.0,Drama,"Director:Limor Shmila| Stars:Noa Biron, Avi Malka, Hai Maor, Nadav Nir"
2950,Bad Blood,2017,4.4,,192.0,192.0,Thriller,"Director:David Pulbrook| Stars:Xavier Samuel, Morgan Griffin, Rob MacPherson, Tess Fowler"
