,Movie_Name,Relese_Year,Rating_Score,Meta_Score,Total_Votes,Gross_USA,Movie_Genre,Director_Star
0,Avengers: Endgame,2019,8.4,78.0,1147483.0,858373000.0,"Action, Adventure, Drama","Directors:Anthony Russo, Joe Russo| Stars:Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth"
1,The Lion King,2019,6.8,55.0,249159.0,543638043.0,"Animation, Adventure, Drama","Director:Jon Favreau| Stars:Donald Glover, Beyoncé, Seth Rogen, Chiwetel Ejiofor"
2,Star Wars: The Rise Of Skywalker,2019,6.5,53.0,457952.0,515202542.0,"Action, Adventure, Fantasy","Director:J.J. Abrams| Stars:Daisy Ridley, John Boyega, Oscar Isaac, Adam Driver"
3,Frozen II,2019,6.8,64.0,177138.0,477373578.0,"Animation, Adventure, Comedy","Directors:Chris Buck, Jennifer Lee| Stars:Kristen Bell, Idina Menzel, Josh Gad, Jonathan Groff"
4,Toy Story 4,2019,7.7,84.0,255871.0,434038008.0,"Animation, Adventure, Comedy","Director:Josh Cooley| Stars:Tom Hanks, Tim Allen, Annie Potts, Tony Hale"
5,Captain Marvel,2019,6.8,64.0,567694.0,426829839.0,"Action, Adventure, Sci-Fi","Directors:Anna Boden, Ryan Fleck| Stars:Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Jude Law"
6,Spider-Man: Far from Home,2019,7.4,69.0,501954.0,390532085.0,"Action, Adventure, Comedy","Director:Jon Watts| Stars:Tom Holland, Samuel L. Jackson, Jake Gyllenhaal, Marisa Tomei"
7,Aladdin,2019,6.9,53.0,270744.0,355559216.0,"Adventure, Comedy, Family","Director:Guy Ritchie| Stars:Will Smith, Mena Massoud, Naomi Scott, Marwan Kenzari"
8,Joker,2019,8.4,59.0,1309953.0,335451311.0,"Crime, Drama, Thriller","Director:Todd Phillips| Stars:Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy"
9,Jumanji: The Next Level,2019,6.7,58.0,256632.0,316831246.0,"Action, Adventure, Comedy","Director:Jake Kasdan| Stars:Dwayne Johnson, Jack Black, Kevin Hart, Karen Gillan"
10,It Chapter Two,2019,6.5,58.0,272098.0,211593228.0,"Drama, Fantasy, Horror","Director:Andy Muschietti| Stars:Jessica Chastain, James McAvoy, Bill Hader, Isaiah Mustafa"
11,Us,I2019,6.8,81.0,307075.0,175084580.0,"Horror, Mystery, Thriller","Director:Jordan Peele| Stars:Lupita Nyong'o, Winston Duke, Elisabeth Moss, Tim Heidecker"
12,Fast & Furious Presents: Hobbs & Shaw,2019,6.5,60.0,216930.0,173956935.0,"Action, Adventure, Thriller","Director:David Leitch| Stars:Dwayne Johnson, Jason Statham, Idris Elba, Vanessa Kirby"
13,John Wick: Chapter 3 - Parabellum,2019,7.4,73.0,352421.0,171015687.0,"Action, Crime, Thriller","Director:Chad Stahelski| Stars:Keanu Reeves, Halle Berry, Ian McShane, Laurence Fishburne"
14,Knives Out,2019,7.9,82.0,705043.0,165359751.0,"Comedy, Crime, Drama","Director:Rian Johnson| Stars:Daniel Craig, Chris Evans, Ana de Armas, Jamie Lee Curtis"
